Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices ,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Gini Index(Household),Life Ladder
41,56,42,71,99,97,68,1,23,48,43,50,6.42514419555664
84,97,74,47,29,101,69,45,8,89,81,2,6.2434287071228
18,8,1,46,62,43,51,93,90,28,33,88,4.54254579544067
83,94,78,99,63,68,23,60,9,93,87,22,6.16683769226074
21,8,3,26,58,52,44,96,64,31,38,81,5.26837491989136
24,23,21,52,92,80,44,52,73,68,60,84,4.96680974960327
75,45,59,72,9,98,62,66,8,67,66,19,6.15087890625
3,9,24,7,60,75,70,93,66,44,11,95,4.07862043380737
19,19,7,26,66,64,27,78,66,10,10,78,4.93673753738403
37,57,33,98,33,36,76,98,98,34,49,69,5.8691725730896
14,28,10,35,40,35,63,24,88,20,3,98,3.73540019989014
91,69,90,74,9,22,64,8,41,97,99,51,5.9106764793396
52,63,62,75,24,79,95,68,16,45,59,79,5.98351240158081
85,88,64,51,2,51,9,56,39,90,90,38,6.06409788131714
105,109,81,82,100,9,89,25,72,97,100,26,7.04073143005371
72,28,75,28,36,91,36,75,6,77,77,16,5.3431658744812
86,83,87,31,79,47,39,58,43,54,93,1,6.92717885971069
93,94,83,69,103,10,80,35,42,83,101,46,7.2334451675415
109,75,92,101,93,0,86,10,104,83,112,92,6.37843799591064
106,110,85,109,90,11,105,24,85,107,108,20,7.59633159637451
78,76,56,5,13,100,40,41,22,73,78,6,5.4489016532898
89,108,86,108,91,3,103,6,84,110,107,34,7.370285987854
55,68,54,40,30,45,68,85,4,60,43,49,6.19092178344727
104,87,66,69,96,31,91,42,32,85,99,102,6.94370126724243
19,75,39,106,106,95,74,21,57,37,23,34,5.29738330841064
60,42,28,15,4,84,28,105,19,31,16,96,4.78238296508789
84,34,87,42,60,92,65,80,28,88,86,37,5.79461860656738
4,2,8,34,64,63,20,109,55,42,17,76,3.87857842445374
27,35,23,84,110,18,86,69,103,22,14,51,4.62311983108521
100,74,42,37,49,37,104,0,24,92,95,13,6.46700477600098
11,7,31,101,78,1,84,72,106,35,75,105,3.5610466003418
90,100,88,96,98,4,91,14,87,110,110,61,7.20517444610596
103,101,83,86,103,7,99,35,79,104,107,63,7.42526865005493
58,62,66,7,42,77,15,81,26,65,66,21,5.30406618118286
18,22,28,12,42,59,55,44,75,62,56,35,4.7693772315979
34,49,49,42,19,49,104,51,15,59,37,40,6.33931827545166
39,56,33,95,41,40,79,83,97,32,50,58,6.26774501800537
46,43,34,84,110,84,108,64,99,51,59,65,5.34029579162598
65,87,54,16,12,16,15,14,50,28,34,7,5.82145309448242
35,48,40,97,51,58,103,72,50,38,26,75,6.32511854171753
98,85,83,98,96,4,91,18,55,105,109,50,7.36874437332153
17,38,0,33,34,40,61,53,78,56,45,107,3.80820488929748
48,102,35,21,76,76,35,15,15,73,49,25,5.46462297439575
95,89,80,76,78,15,81,36,47,91,95,21,6.92834758758545
38,45,54,48,59,37,32,73,56,28,74,27,5.27128458023071
52,63,65,63,17,79,93,77,27,43,61,92,6.35029792785645
21,27,9,58,89,47,60,92,88,57,38,107,4.34754371643066
44,37,33,79,109,93,107,76,99,51,56,61,5.09840154647827
110,85,84,103,56,9,83,25,97,108,104,24,7.40401554107666
31,6,29,86,52,50,43,75,100,50,60,29,4.04611110687256
71,67,76,52,62,70,100,62,14,83,93,93,6.32011938095093
57,64,78,105,37,50,108,77,53,87,79,111,7.14107465744019
20,14,2,35,38,48,49,88,61,24,31,90,5.03773498535156
40,47,42,66,92,103,51,4,24,49,45,42,5.75941228866577
1,15,6,64,61,27,35,86,94,25,13,102,4.27986335754394
78,88,69,81,38,75,77,32,35,81,85,7,6.16207647323608
3,12,4,28,87,79,7,107,97,56,14,107,4.30568313598633
48,58,20,36,28,65,86,51,56,66,67,90,5.03486347198486
0,3,21,56,80,46,13,90,71,50,29,109,3.33463358879089
40,6,43,63,7,17,11,25,20,58,82,62,4.45077466964722
81,92,55,39,18,52,20,16,25,90,88,53,6.27294063568115
74,39,81,2,2,92,50,80,0,67,66,8,5.30261945724487
44,25,32,20,7,64,2,60,80,7,30,11,4.00545072555542
38,77,41,18,52,104,21,31,0,19,33,20,4.66190910339356
37,61,39,8,71,103,17,37,0,16,31,49,4.3110671043396
76,73,38,34,25,82,53,16,68,21,32,28,5.57874298095703
24,51,42,16,27,68,25,99,39,4,48,74,4.48253726959229
21,32,19,2,28,49,30,55,19,24,23,64,4.67815971374512
90,37,88,8,39,56,38,29,36,80,92,38,5.84023141860962
48,64,17,49,44,62,81,68,54,67,73,93,4.76973962783814
13,34,19,5,25,54,0,74,23,0,0,60,3.05751395225525
73,83,77,21,26,100,12,61,10,78,76,9,5.53627109527588
65,59,70,91,28,60,108,46,56,42,46,77,6.43194532394409
96,98,88,106,98,7,107,29,85,105,105,98,7.41486835479736
96,70,82,50,18,24,61,42,27,91,96,11,6.7721381187439
25,9,22,13,85,53,34,78,48,2,21,10,5.54850816726685
13,0,12,47,69,29,37,105,87,64,35,86,4.97636079788208
51,82,60,70,21,86,99,66,7,44,59,87,6.15734195709229
54,41,48,0,13,30,33,61,56,20,15,83,5.24891233444214
0,19,20,24,80,67,29,97,67,49,8,105,5.12146091461182
64,80,52,14,16,35,0,38,42,35,36,5,5.23376989364624
101,55,51,59,27,37,77,71,56,9,72,62,6.29428243637085
29,103,43,111,91,13,100,20,105,14,7,57,6.42144775390625
87,93,86,11,44,93,45,83,9,82,79,36,5.95452404022217
14,25,13,40,39,41,87,33,87,15,5,95,3.63830018043518
16,28,0,42,23,56,66,47,88,58,42,97,3.79530072212219
0,7,7,54,72,20,75,110,92,18,28,94,5.16400718688965
39,69,44,28,50,88,28,19,34,17,30,40,4.70176219940186
87,84,90,30,45,49,37,87,18,80,86,22,6.51337099075317
99,107,81,109,97,1,94,22,71,101,106,104,7.59370231628418
47,49,52,17,76,79,7,50,1,14,27,9,5.27072381973267
93,66,91,57,1,19,65,15,40,97,99,46,5.90803909301758
33,33,38,84,43,81,70,103,21,53,17,49,5.67427062988281
47,42,59,13,94,106,32,70,6,48,46,38,5.18086528778076
15,10,19,49,99,38,48,44,103,43,37,101,2.90273427963257
103,51,42,56,86,10,40,27,46,75,104,80,5.49842071533203
19,12,36,83,40,28,9,37,100,18,21,56,4.5561408996582
16,18,20,57,88,21,55,48,103,40,35,88,3.3471212387085
76,66,54,14,5,23,0,74,75,7,62,12,5.607262134552
82,105,65,56,12,88,66,10,54,75,79,37,6.00025987625122
16,29,41,53,100,32,5,87,82,38,20,59,5.4487247467041
42,49,18,58,11,69,56,57,92,76,67,99,4.44130611419678
79,100,52,10,0,104,16,44,17,92,91,21,5.86555242538452
81,65,84,84,6,97,53,67,45,99,92,66,6.09547328948975
64,74,72,61,11,69,95,76,16,70,53,36,6.08556079864502
90,89,82,100,105,28,52,87,89,101,91,37,6.73297739028931
89,109,85,105,107,4,91,8,77,110,111,60,7.32718276977539
102,62,53,76,10,37,74,60,56,11,74,68,6.35639333724976
12,0,32,80,81,1,63,102,106,34,75,105,3.26815223693848
79,77,82,93,18,87,35,63,59,100,93,59,5.71149921417236
53,44,62,31,73,99,10,70,14,49,64,21,5.01548528671265
72,44,57,70,21,100,62,35,21,68,72,44,6.08990478515625
75,98,78,36,29,102,7,52,18,77,76,16,5.6257438659668
76,35,83,6,0,81,40,47,2,72,73,7,5.40928936004639
42,62,19,41,16,74,64,40,81,76,71,110,4.83408784866333
29,53,38,6,65,106,24,55,0,52,34,28,5.57778406143189
104,93,88,103,85,7,78,22,97,106,110,79,7.45851993560791
