Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel","gini of household income reported in Gallup, by wp5-year"
Afghanistan,2016,low,low,low,low,low,medium,high,low,medium,low,low,low,1.7962194681167605,0.4256274104118347,medium,medium
Afghanistan,2017,low,low,low,low,low,low,high,low,high,low,low,low,1.4540507793426514,0.5462827682495117,medium,low
Afghanistan,2018,low,low,low,low,low,medium,high,low,high,low,low,low,1.40834379196167,0.5227116942405701,medium,low
Afghanistan,2019,low,low,low,low,low,low,high,low,high,low,low,low,1.4129045009613037,0.5948841571807861,medium,low
Albania,2016,low,medium,low,medium,medium,medium,high,medium,medium,low,medium,medium,2.6466681957244877,0.5867012143135071,low,medium
Albania,2017,low,medium,low,medium,medium,medium,high,medium,medium,medium,medium,medium,2.6821048259735107,0.5780960917472839,low,medium
Albania,2018,medium,medium,low,medium,high,medium,high,medium,medium,medium,medium,medium,2.640530824661255,0.5276415348052979,low,medium
Albania,2019,medium,medium,low,medium,medium,low,high,medium,medium,low,medium,medium,2.6137661933898926,0.5232431888580322,low,medium
Algeria,2016,medium,medium,medium,medium,low,low,medium,medium,high,medium,low,low,2.114553451538086,0.3959204852581024,low,high
Algeria,2017,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium,low,2.039764642715454,0.3886071145534515,low,medium
Algeria,2018,medium,medium,medium,medium,low,low,medium,low,medium,medium,medium,low,1.9739428758621216,0.3914156556129456,low,high
Algeria,2019,low,medium,medium,medium,low,medium,medium,low,low,medium,low,low,1.80437433719635,0.3802984356880188,low,low
Argentina,2016,high,medium,high,medium,high,low,high,high,medium,medium,high,medium,2.1271085739135738,0.330953061580658,high,low
Argentina,2017,medium,medium,high,medium,high,low,high,high,medium,low,high,medium,2.4093289375305176,0.39893975853919983,high,medium
Argentina,2018,medium,medium,high,medium,high,low,high,high,medium,low,medium,medium,2.4725587368011475,0.4268333315849304,high,medium
Argentina,2019,medium,medium,high,medium,high,low,high,high,medium,low,high,medium,2.258975982666016,0.3712025880813599,high,medium
Armenia,2016,low,medium,low,medium,low,low,high,low,high,low,medium,medium,2.126364231109619,0.4915912747383118,low,low
Armenia,2017,low,medium,low,medium,low,low,high,medium,high,low,medium,medium,2.325378894805908,0.5423325300216675,low,medium
Armenia,2018,medium,medium,medium,medium,medium,low,medium,low,high,high,medium,medium,2.1021106243133545,0.4152359664440155,low,medium
Australia,2016,high,high,high,high,high,high,low,high,low,medium,high,high,1.6988278627395632,0.2343184947967529,low,medium
Australia,2017,high,high,high,high,high,high,low,high,low,medium,high,high,1.7456989288330078,0.24055255949497226,low,medium
Australia,2018,high,high,high,high,high,medium,low,high,low,medium,high,high,1.7502825260162354,0.2438740581274033,low,medium
Australia,2019,high,high,high,high,high,medium,low,high,low,medium,high,high,1.6950342655181885,0.23431509733200076,low,high
Austria,2016,high,high,high,high,high,medium,medium,high,low,medium,high,high,1.7044001817703247,0.2418250292539597,low,low
Austria,2017,high,high,high,high,high,medium,medium,high,low,medium,high,high,1.5610619783401491,0.21402800083160398,low,low
Austria,2018,high,high,high,high,high,medium,medium,high,low,medium,high,high,1.5519400835037231,0.2098350077867508,low,low
Austria,2019,high,high,high,high,high,medium,low,high,low,medium,high,high,1.5487314462661743,0.2152402698993683,low,low
Azerbaijan,2016,medium,medium,medium,medium,medium,low,medium,low,low,high,low,medium,1.6131815910339355,0.30415037274360657,low,low
Azerbaijan,2017,medium,medium,medium,medium,medium,low,medium,low,low,high,low,medium,1.6737568378448486,0.32485753297805786,low,low
Azerbaijan,2018,medium,medium,medium,medium,medium,low,medium,low,low,high,low,low,1.8633021116256716,0.3605463802814484,low,low
Azerbaijan,2019,medium,medium,high,medium,high,low,low,medium,low,high,low,medium,1.354501485824585,0.26182091236114496,low,low
Bangladesh,2016,low,low,low,medium,high,medium,medium,low,low,high,medium,low,1.9825828075408936,0.43514519929885853,low,medium
Bangladesh,2017,low,low,medium,medium,high,medium,medium,low,low,high,low,low,1.865365982055664,0.4328225255012512,low,medium
Bangladesh,2018,low,low,low,medium,high,medium,medium,low,high,high,medium,low,2.1593031883239746,0.4799286425113678,low,low
Bangladesh,2019,medium,low,low,medium,high,medium,medium,low,high,high,medium,low,2.88346004486084,0.5638126134872437,low,medium
Belarus,2016,medium,medium,high,medium,low,low,medium,low,low,medium,medium,low,1.777631163597107,0.34331125020980835,low,low
Belarus,2017,medium,medium,high,medium,low,low,medium,low,low,medium,medium,low,1.662563681602478,0.29940375685691833,low,low
Belarus,2018,medium,medium,high,medium,low,low,medium,low,low,medium,medium,low,1.6901071071624756,0.3229234516620636,low,low
Belarus,2019,medium,medium,high,medium,low,low,medium,low,low,medium,medium,low,1.9215387105941768,0.3300788700580597,low,low
Belgium,2016,high,high,high,high,high,medium,low,high,medium,medium,high,high,1.4970237016677856,0.2154320627450943,low,low
Belgium,2017,high,high,high,high,high,medium,medium,high,low,medium,high,high,1.510013222694397,0.2179470956325531,low,low
Belgium,2018,high,high,high,high,medium,low,medium,high,low,medium,high,high,1.5480906963348389,0.22461579740047452,low,low
Belgium,2019,high,high,high,high,medium,low,medium,medium,low,low,high,high,1.6050792932510376,0.237012192606926,low,low
Benin,2016,low,low,low,low,medium,medium,high,low,high,medium,medium,low,2.191754102706909,0.5469325184822083,medium,medium
Benin,2017,medium,low,low,low,medium,medium,medium,low,high,medium,medium,low,2.99812650680542,0.6177652478218079,medium,high
Benin,2018,medium,low,low,low,medium,medium,medium,medium,high,medium,medium,low,3.313297986984253,0.5693120956420898,medium,high
Benin,2019,medium,low,low,low,medium,medium,medium,medium,high,high,medium,low,3.299245595932007,0.6629835963249207,medium,medium
Bolivia,2016,medium,medium,medium,medium,high,medium,high,high,high,low,medium,low,2.0505731105804443,0.3554023206233978,high,medium
Bolivia,2017,medium,medium,medium,medium,high,low,high,medium,high,medium,medium,low,2.2504842281341557,0.3982768356800079,high,medium
Bolivia,2018,medium,medium,medium,medium,high,medium,high,medium,high,low,medium,low,2.2045419216156006,0.3726573586463928,high,medium
Bolivia,2019,medium,medium,medium,medium,high,medium,high,high,high,low,medium,low,2.2516534328460693,0.3968181312084198,high,medium
Bosnia and Herzegovina,2016,medium,medium,medium,medium,low,medium,high,medium,medium,low,medium,medium,2.2160487174987797,0.4277371764183045,low,medium
Bosnia and Herzegovina,2017,medium,medium,medium,medium,low,medium,high,low,medium,low,medium,medium,2.2810065746307373,0.448143482208252,low,medium
Bosnia and Herzegovina,2018,medium,medium,medium,medium,low,medium,high,medium,medium,low,medium,medium,1.9877502918243408,0.3376277983188629,low,medium
Bosnia and Herzegovina,2019,medium,medium,high,medium,medium,medium,high,medium,low,low,medium,medium,2.2574050426483154,0.3752633333206177,low,low
Botswana,2016,low,medium,medium,low,high,low,medium,medium,low,high,high,medium,2.685791492462158,0.7676022052764893,high,high
Botswana,2017,low,medium,medium,low,high,low,medium,medium,medium,high,high,medium,2.6694254875183105,0.7616308331489563,high,high
Botswana,2018,low,medium,medium,low,high,low,high,medium,medium,high,high,medium,2.637892484664917,0.7620958685874939,high,high
Botswana,2019,low,medium,medium,low,high,low,high,medium,medium,high,high,medium,2.614710807800293,0.7532834410667419,high,high
Brazil,2016,high,medium,high,medium,medium,low,high,high,medium,low,medium,medium,2.5180392265319824,0.39499786496162415,high,medium
Brazil,2017,high,medium,high,medium,medium,low,high,medium,medium,low,medium,medium,2.530506134033203,0.3995791077613831,high,medium
Brazil,2018,high,medium,high,medium,medium,low,medium,high,medium,low,medium,medium,2.637867212295532,0.4260863363742829,high,medium
Brazil,2019,high,medium,high,medium,high,medium,medium,high,medium,low,medium,medium,2.4853222370147705,0.3852526545524597,high,high
Bulgaria,2016,medium,medium,high,medium,medium,low,high,medium,low,low,medium,medium,1.9175925254821775,0.39639657735824585,medium,low
Bulgaria,2017,medium,medium,high,medium,medium,low,high,low,low,low,high,medium,1.8523638248443604,0.3634293675422669,medium,low
Bulgaria,2018,medium,medium,high,medium,medium,low,high,medium,low,low,high,medium,2.037506580352783,0.3996040523052216,medium,low
Bulgaria,2019,medium,medium,high,medium,high,low,high,medium,low,low,high,medium,2.052162408828736,0.4017201364040375,medium,low
Burkina Faso,2016,low,low,medium,low,low,medium,medium,low,medium,high,medium,medium,1.9667134284973145,0.4676377475261688,medium,medium
Burkina Faso,2017,low,low,medium,low,low,medium,medium,low,medium,medium,medium,medium,2.19759202003479,0.4729166030883789,medium,medium
Burkina Faso,2018,medium,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,2.6460697650909424,0.5370292067527771,medium,high
Burkina Faso,2019,low,low,low,low,medium,medium,medium,medium,high,high,medium,medium,2.8427886962890625,0.5996314883232117,medium,medium
Cambodia,2016,low,low,medium,medium,high,medium,high,high,high,high,medium,low,2.5605764389038086,0.5739582180976868,medium,medium
Cambodia,2017,low,low,medium,medium,high,medium,high,high,high,high,medium,low,2.732651472091675,0.5958886742591858,medium,medium
Cambodia,2018,medium,low,medium,medium,high,medium,high,high,high,high,medium,low,2.911452531814575,0.5684390664100647,medium,high
Cambodia,2019,medium,low,medium,medium,high,medium,high,high,high,high,medium,low,2.8256046772003174,0.5653148889541626,medium,high
Cameroon,2016,low,low,low,low,medium,medium,high,medium,high,medium,low,low,2.363250970840454,0.4906845986843109,medium,medium
Cameroon,2017,medium,low,low,low,medium,medium,high,medium,high,medium,low,low,2.8152244091033936,0.5548277497291565,medium,medium
Cameroon,2018,medium,low,low,low,high,medium,high,medium,medium,medium,low,low,2.9213135242462163,0.556362509727478,medium,medium
Cameroon,2019,medium,low,low,low,medium,medium,high,medium,medium,medium,low,low,2.7359399795532227,0.5541999936103821,medium,medium
Canada,2016,high,high,high,high,high,high,low,high,low,medium,high,high,1.7764630317687988,0.2452037036418915,low,high
Canada,2017,high,high,high,high,high,medium,low,high,low,medium,high,high,1.6033637523651123,0.21623630821704865,low,high
Canada,2018,high,high,high,high,high,medium,low,high,medium,medium,high,high,1.7644574642181396,0.24590039253234866,low,medium
Canada,2019,high,high,high,high,high,medium,low,high,medium,medium,high,high,1.7844544649124146,0.2510107159614563,low,medium
Chad,2016,low,low,low,low,low,medium,high,low,high,medium,low,low,2.435532808303833,0.6044480204582214,medium,medium
Chad,2017,low,low,low,low,low,medium,high,medium,high,medium,low,low,2.8809604644775386,0.6319369077682495,medium,medium
Chad,2018,low,low,low,low,low,medium,medium,low,high,medium,low,low,3.107621431350708,0.6926875114440918,medium,high
Chad,2019,low,low,low,low,low,medium,high,low,high,medium,low,low,3.137524127960205,0.7381021976470947,medium,high
