,Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel",GINI Index(Household Income)
8,Afghanistan,2016,4.22016859054565,7.47137641906738,0.559071779251099,53,0.522566199302673,0.053187966346741,0.793245553970337,0.564952671527862,0.348332285881042,0.324989557266235,-1.8554482460022,-1.39464807510376,1.79621946811676,0.425627410411835,0.382800789525595,0.418629497289658
9,Afghanistan,2017,2.66171813011169,7.47219705581665,0.490880072116852,52.7999992370606,0.427010864019394,-0.110381551086903,0.954392552375793,0.496348559856415,0.371326178312302,0.261178523302078,-1.89653944969177,-1.44021785259247,1.45405077934265,0.546282768249512,0.382800789525595,0.286598861217499
10,Afghanistan,2018,2.69430327415466,7.4586033821106,0.507515847682953,52.5999984741211,0.373535543680191,-0.082318790256977,0.92760568857193,0.42412531375885,0.404904395341873,0.364666402339935,-1.87072467803955,-1.43876123428345,1.40834379196167,0.52271169424057,0.382800789525595,0.290681332349777
11,Afghanistan,2019,2.37509179115295,7.45846891403198,0.419972866773605,52.4000015258789,0.39365616440773,-0.096548922359943,0.923849105834961,0.351387053728104,0.502473711967468,0.341482222080231,-1.87423745791117,-1.42454238732656,1.4129045009613,0.594884157180786,0.382800789525595,0.374929696321487
20,Albania,2016,4.51110076904297,9.33756446838379,0.638411462306976,68.0999984741211,0.729818940162659,-0.017473436892033,0.901070773601532,0.675243735313416,0.321705996990204,0.400909811258316,0.257296949625015,-0.132960185408592,2.64666819572449,0.586701214313507,0.30325,0.41654035449028
21,Albania,2017,4.63954830169678,9.37613296508789,0.637698292732239,68.4000015258789,0.749611020088196,-0.02935722284019,0.876134634017944,0.669240891933441,0.333884119987488,0.457737535238266,0.290325850248337,-0.128311485052109,2.68210482597351,0.578096091747284,0.30325,0.410487979650497
22,Albania,2018,5.00440263748169,9.41786289215088,0.683591663837433,68.6999969482422,0.824212312698364,0.008336669765413,0.899129390716553,0.713299572467804,0.318996727466583,0.435337960720062,0.294234782457352,-0.12940289080143,2.64053082466125,0.527641534805298,0.30325,0.456174194812775
23,Albania,2019,4.9953179359436,9.45656871795654,0.686364889144897,69,0.777351438999176,-0.100784108042717,0.914284288883209,0.681080400943756,0.273827373981476,0.336627870798111,0.280619194110235,-0.130224853754044,2.61376619338989,0.523243188858032,0.30325,0.397716045379639
28,Algeria,2016,5.34085369110107,9.54251384735107,0.748588263988495,65.5,0.468378166357676,-0.12408173084259,0.733029226462046,0.6605104804039,0.377111971378326,0.496353612307505,-0.980347394943237,-0.809583008289337,2.11455345153809,0.395920485258102,0.276,0.604616701602936
29,Algeria,2017,5.24891233444214,9.53793716430664,0.806753873825073,65.6999969482422,0.436670482158661,-0.187749773263931,0.699774205684662,0.64197963476181,0.288710027933121,0.496353612307505,-0.910272717475891,-0.813394248485565,2.03976464271545,0.388607114553452,0.276,0.527555763721466
30,Algeria,2018,5.04308605194092,9.53864574432373,0.798651337623596,65.9000015258789,0.583380579948425,-0.167402997612953,0.758704125881195,0.591042935848236,0.292945563793182,0.496353612307505,-0.887384355068207,-0.779862582683563,1.97394287586212,0.391415655612946,0.276,0.66787189245224
31,Algeria,2019,4.74462747573853,9.53736877441406,0.803258657455444,66.0999984741211,0.385083436965942,-0.017092421650887,0.740609347820282,0.584944307804108,0.215197756886482,0.496353612307505,-0.926001489162445,-0.800946613152822,1.80437433719635,0.380298435688019,0.276,0.304484367370606
46,Argentina,2016,6.42722129821777,9.83333778381348,0.88281911611557,68.4000015258789,0.847702205181122,-0.184451654553413,0.850924491882324,0.841906726360321,0.311646461486816,0.419561833143234,0.348594278097153,-0.246285825967789,2.12710857391357,0.330953061580658,0.460705882352941,0.332070827484131
