iter	RMSE
0	1.077055332
1	1.055413542
2	1.034131053
3	1.014392194
4	0.9948341121
5	0.9740135209
6	0.9561550372
7	0.936925051
8	0.917835006
9	0.9003087259
10	0.8834944863
11	0.8679210148
12	0.8505173732
13	0.8362375245
14	0.8204813081
15	0.8056879605
16	0.7915187265
17	0.7776297381
18	0.7644147701
19	0.7509078348
20	0.7386534579
21	0.7272937294
22	0.7158418845
23	0.7051402677
24	0.6938358245
25	0.6831772314
26	0.6729711323
27	0.663026538
28	0.6535555863
29	0.6440831523
30	0.6364040049
31	0.6279366582
32	0.6195422184
33	0.6114993834
34	0.6041854268
35	0.5968211156
36	0.5899282525
37	0.5831901537
38	0.5765438757
39	0.57053787
40	0.5643899278
41	0.5577797316
42	0.5516856335
43	0.5460879367
44	0.5414238045
45	0.5358261857
46	0.5312497265
47	0.52541396
48	0.5200668715
49	0.5148642456
50	0.5102600163
51	0.5058136255
52	0.5006430806
53	0.4958904763
54	0.4914642765
55	0.4873982917
56	0.4832323696
57	0.4791162417
58	0.4756726949
59	0.4722011285
60	0.4687322379
61	0.4647685182
62	0.4608695966
63	0.4572688405
64	0.4542076434
65	0.4517946626
66	0.4490425585
67	0.446137303
68	0.4433117479
69	0.4403047689
70	0.4375217793
71	0.4352470513
72	0.4323816946
73	0.4296331534
74	0.4272578664
75	0.4251375851
76	0.4233216506
77	0.4209249909
78	0.4181252754
79	0.4158570162
80	0.4138931433
81	0.411186478
82	0.4095187018
83	0.4073819916
84	0.4053111846
85	0.4036003187
86	0.401988433
87	0.4004103805
88	0.3989423599
89	0.3970164271
90	0.395588907
91	0.393822359
92	0.3924671745
93	0.3904015442
94	0.3888431755
95	0.3866729201
96	0.3852300069
97	0.3830237058
98	0.381659502
99	0.380672926
100	0.3792919262
101	0.377561401
102	0.3758998582
103	0.3745417068
104	0.3730400211
105	0.3717722067
106	0.3703628178
107	0.3691759972
108	0.3681915667
109	0.3666527327
110	0.3649958168
111	0.3638703392
112	0.362206225
113	0.3610435657
114	0.3595007323
115	0.3582657992
116	0.3572458394
117	0.3561920394
118	0.3549121732
119	0.3530127765
120	0.3518737262
121	0.35038561
122	0.349406699
123	0.3481454057
124	0.3471492382
125	0.3459528378
126	0.3443665129
127	0.3434976762
128	0.3424736654
129	0.3415138381
130	0.3403244241
131	0.3389600473
132	0.3374825142
133	0.3362288214
134	0.335067222
135	0.3341246406
136	0.3328900319
137	0.3317717316
138	0.3304998057
139	0.3290356176
140	0.327667673
141	0.3262901142
142	0.3257822689
143	0.325036823
144	0.3242518834
145	0.3235186237
146	0.3229030963
147	0.3218151157
148	0.3209304108
149	0.3196290503
150	0.318503796
151	0.3179831228
152	0.317157235
153	0.315908186
154	0.3145998952
155	0.3140975538
156	0.3128754566
157	0.3120484598
158	0.3112121652
159	0.3106965922
160	0.3098552351
161	0.308899151
162	0.3078895508
163	0.3072895946
164	0.3067404476
165	0.3058300583
166	0.304953277
167	0.3040458868
168	0.3032429365
169	0.3024836751
170	0.3017728325
171	0.3010095387
172	0.300166437
173	0.2994145604
174	0.2990968416
175	0.297215155
176	0.2965442567
177	0.2957748969
178	0.295219168
